symbol,timestamp,open,high,low,CLOSE,TOTTRDQTY
BIGBLOC,2018-01-01,141.05,143.35,137.65,138.8,78191
BIL,2018-01-01,520.95,523,510.2,517.75,14191
BILPOWER,2018-01-01,1.45,1.5,1.45,1.5,5600
BINANIIND,2018-01-01,138.9,139.8,135.5,136.5,156607
BINDALAGRO,2018-01-01,40.1,44,40.1,42.1,1431441
BIOCON,2018-01-01,540.15,545.95,535.6,538,642155
BIRLACORPN,2018-01-01,1159,1200,1148,1194.15,63372
BIRLAMONEY,2018-01-01,88.1,101.7,87,96.95,3430927
BKMINDST,2018-01-01,37.9,38,35.8,36.95,28294
BLISSGVS,2018-01-01,213.55,217.45,212.6,213.45,277869
BLKASHYAP,2018-01-01,65.9,66.45,63.7,64.3,309343
BLS,2018-01-01,265.8,270.35,264.2,265.3,307415
BLUEBLENDS,2018-01-01,37.15,38.2,36.3,36.5,19817
BLUEDART,2018-01-01,4552.85,4619.95,4552.85,4600.3,6581
BLUESTARCO,2018-01-01,813,830,813,821.5,41917
BODALCHEM,2018-01-01,167.8,170.85,166.5,167.35,298290
BOMDYEING,2018-01-01,278,295.15,274,286.05,6708713
BOSCHLTD,2018-01-01,20165,20620,19702.4,19791.9,20401
BPCL,2018-01-01,518,523,507.2,508.6,1940293
BPL,2018-01-01,111.55,113.55,107.95,108.85,933006
BRFL,2018-01-01,117.7,123.85,117.7,117.7,3031546
BRIGADE,2018-01-01,322,324.9,311.1,313.4,149147
BRITANNIA,2018-01-01,4750,4774,4715.2,4738.25,56160
BRNL,2018-01-01,191,191,187.35,188.45,6688
BROOKS,2018-01-01,111.95,114.7,109.65,110.3,66770
BSE,2018-01-01,917,934.95,916.1,930.95,256355
BSELINFRA,2018-01-01,6.9,7.35,6.9,7.05,725830
BSL,2018-01-01,120.95,130.9,114,126.8,1130748
BSLGOLDETF,2018-01-01,2740.05,2750.05,2740,2750,89
BSLIMITED,2018-01-01,1.5,1.5,1.45,1.5,925581
BSLNIFTY,2018-01-01,109,110,106.02,110,245
BYKE,2018-01-01,175.4,183.9,172.25,178.9,67009
CADILAHC,2018-01-01,438.45,438.9,430.35,432.55,803342
CAMLINFINE,2018-01-01,129.7,138.35,128,133.5,1513363
CANBK,2018-01-01,361.7,366,359.05,360.7,876655
CANFINHOME,2018-01-01,472,485.85,472,477.4,895567
CANTABIL,2018-01-01,114.9,117.7,113,113.85,34393
CAPACITE,2018-01-01,397,399.6,390.35,391.75,199030
CAPF,2018-01-01,692.5,701.9,692.1,694.9,156198
CAPLIPOINT,2018-01-01,634.4,638.95,630.45,634,18586
CAPTRUST,2018-01-01,519.95,519.95,513.45,515,1504
CARBORUNIV,2018-01-01,387,387,371,373.75,84144
CAREERP,2018-01-01,132.25,134,129,131.05,60995
CARERATING,2018-01-01,1328,1348.95,1327.05,1342.25,20858
CASTEXTECH,2018-01-01,7.5,7.9,7.35,7.85,8526343
CASTROLIND,2018-01-01,194,194.45,191.5,191.75,1062521
CCHHL,2018-01-01,19.6,21.9,19,20.4,2047560
CCL,2018-01-01,305,305,299.25,299.9,33944
CDSL,2018-01-01,357,364.8,353.25,356.1,682248
CEATLTD,2018-01-01,1950.85,1976.75,1930.55,1943.7,405491
CELEBRITY,2018-01-01,15.45,16.4,15.45,15.65,166662
CELESTIAL,2018-01-01,21.75,23.45,20.7,22.3,1107142
CENTENKA,2018-01-01,335,339.45,332.5,333.95,35817
CENTEXT,2018-01-01,6.4,6.55,6.2,6.25,197108
CENTRALBK,2018-01-01,74.5,77.8,73,74.7,8051264
CENTUM,2018-01-01,658.45,658.45,640.1,648.7,2800
CENTURYPLY,2018-01-01,341,354,337.45,347.55,396889
CENTURYTEX,2018-01-01,1426.75,1446,1410,1417.05,459843
CERA,2018-01-01,3773.5,3788.95,3705,3723.7,2372
CEREBRAINT,2018-01-01,40.4,41.3,40.2,40.3,222269
CESC,2018-01-01,1054.85,1080,1051.1,1064,534835
CGCL,2018-01-01,119.1,122.8,119,119.75,48528
CGPOWER,2018-01-01,93.3,95.2,92.05,92.8,3638378
CHAMBLFERT,2018-01-01,153.95,160.8,152.15,157.05,1529319
CHENNPETRO,2018-01-01,428.7,435.75,426,431.9,192488
CHOLAFIN,2018-01-01,1305,1337.85,1291.4,1317.85,165858
CINELINE,2018-01-01,115.5,120.55,113.6,115.4,628013
CIPLA,2018-01-01,608,617.85,607,611.5,873546
CLEDUCATE,2018-01-01,290,294,290,291.95,3652
CLNINDIA,2018-01-01,575,625,571.5,605.45,113356
CMICABLES,2018-01-01,278,304.85,276,297.6,383634
CNOVAPETRO,2018-01-01,41.05,44.75,41.05,42.15,18153
COALINDIA,2018-01-01,263,267.3,262.6,266.65,3079260
COCHINSHIP,2018-01-01,553,559.95,551.1,552.2,123958
COFFEEDAY,2018-01-01,274.85,282.8,273.1,279.9,166002
COLPAL,2018-01-01,1095.5,1122.95,1094.65,1102.6,334274
COMPINFO,2018-01-01,48.8,52.4,48.8,50.5,1003592
COMPUSOFT,2018-01-01,18.9,19.4,18.1,18.8,310731
CONCOR,2018-01-01,1388,1425,1368,1370.75,68768
CONSOFINVT,2018-01-01,73.5,88,73.5,83.6,170677
CONTROLPR,2018-01-01,460,485,459,473.2,19582
CORALFINAC,2018-01-01,60,60,58.3,58.7,84502
COROMANDEL,2018-01-01,580.1,586.75,545.5,556.9,200142
CORPBANK,2018-01-01,39.55,40.7,39.25,40.4,452777
COSMOFILMS,2018-01-01,376.9,377.4,369.3,372.15,29562
COX&KINGS,2018-01-01,268.8,277.4,268.4,273.45,275016
CPSEETF,2018-01-01,30.2,30.35,30,30.15,551203
CREATIVEYE,2018-01-01,4.8,4.8,4.8,4.8,5877
CREST,2018-01-01,280,297.5,273,280.05,171337
CRISIL,2018-01-01,1874,1900,1872,1895.05,7843
CRMFGETF,2018-01-01,2730,2744,2730,2743.5,1000
CROMPTON,2018-01-01,275.5,280,269,270.6,139572
CTE,2018-01-01,80,80.4,79.15,80.4,10147
CUB,2018-01-01,180.5,180.5,177.25,178.35,195467
CUMMINSIND,2018-01-01,905.9,927.55,905.9,913.05,339746
CUPID,2018-01-01,305.9,309,300.25,305.05,34937
CYBERTECH,2018-01-01,82,87.95,81.5,84.25,304448
CYIENT,2018-01-01,583.35,587.4,574.6,577.7,49668
DAAWAT,2018-01-01,91.25,93.85,90.75,91.5,2250865
DABUR,2018-01-01,351,351.85,347.7,349,272884
DALMIABHA,2018-01-01,3224.9,3224.9,3183.85,3193.85,22269
DALMIASUG,2018-01-01,133.8,137,132.7,134.55,125362
DAMODARIND,2018-01-01,125.3,125.3,121.15,122.6,5760
DATAMATICS,2018-01-01,146,148.55,143.4,144.2,268504
DBCORP,2018-01-01,350.95,359,349.3,357.5,79449
DBL,2018-01-01,994,995,976.6,982.05,208334
DBREALTY,2018-01-01,61,63.65,60.1,63.65,2226298
DCAL,2018-01-01,326.1,327.85,318,320.6,78280
DCBBANK,2018-01-01,196,202.45,194.55,197.9,1233341
DCM,2018-01-01,114,116,112.65,113.45,58631
DCMSHRIRAM,2018-01-01,562.45,566.45,547.5,552.85,128604
DECCANCE,2018-01-01,557,563.9,551.6,553.2,4937
DEEPAKFERT,2018-01-01,426.7,433,421.25,427.85,201667
DEEPAKNTR,2018-01-01,233.3,235,229.5,230.25,247169
DEEPIND,2018-01-01,206,207.8,204.85,206.55,59239
DELTACORP,2018-01-01,308,312.9,305.25,307.15,1500573
DELTAMAGNT,2018-01-01,65.45,67.1,61.25,67.1,5703
DEN,2018-01-01,105.35,111.2,103.85,108.6,595223
DENABANK,2018-01-01,25.6,25.85,25.25,25.55,2964555
DENORA,2018-01-01,286.5,299,286.5,288.2,13067
DFMFOODS,2018-01-01,1999.8,2000,1930.2,1981.25,2212
DHAMPURSUG,2018-01-01,217,222.5,210,216.15,502196
DHANBANK,2018-01-01,29.6,30.65,29.6,30.2,310455
DHANUKA,2018-01-01,735,758,726.6,745.2,25186
DHARSUGAR,2018-01-01,29.6,31,29.6,29.8,86482
DHFL,2018-01-01,582,600.75,581.8,590.85,2377449
DHUNINV,2018-01-01,457,457,421,424.65,9281
DIAMONDYD,2018-01-01,1275,1275,1238.3,1247.95,4859
DIAPOWER,2018-01-01,18.6,18.95,18.5,18.65,399936
DICIND,2018-01-01,557.65,580,552,559.85,8230
DISHTV,2018-01-01,82.05,82.7,81.35,81.7,1836892
DIVISLAB,2018-01-01,1095,1119.95,1090.1,1099.05,429620
DIXON,2018-01-01,4230,4295,4142,4187.55,39092
DLF,2018-01-01,259.45,262.45,255.2,256.7,4935049
DLINKINDIA,2018-01-01,127.7,129.4,126.45,127.25,92060
DMART,2018-01-01,1188.3,1193.25,1166,1170.5,334392
DNAMEDIA,2018-01-01,14.4,14.4,12.55,12.85,892402
DOLLAR,2018-01-01,456.2,463,456.2,460.15,9886
DOLPHINOFF,2018-01-01,125,126.5,120.5,122.1,134018
DPL,2018-01-01,161,167.4,160,161.05,76524
DPSCLTD,2018-01-01,33,33,31.05,31.45,97198
DREDGECORP,2018-01-01,858.55,871.9,837,847.6,1340479
DRREDDY,2018-01-01,2410,2436,2394.05,2404.15,242081
DSSL,2018-01-01,53.05,61.4,53.05,61,261478
DUCON,2018-01-01,43.35,44.8,42.5,42.85,91247
DWARKESH,2018-01-01,47.6,50.4,47.05,48.7,2810914
DYNAMATECH,2018-01-01,2179.05,2200,2175,2180.55,481
EASTSILK,2018-01-01,5.6,5.6,5.3,5.35,131499
EBANK,2018-01-01,3090,3090,2766,2866,3
ECEIND,2018-01-01,405.1,425,400,413.25,9771
ECLERX,2018-01-01,1579,1595.4,1566,1571.95,72551
EDELWEISS,2018-01-01,298.8,300.5,291.4,292.9,1135857
EDL,2018-01-01,52.1,55.95,50.55,53.05,258761
EICHERMOT,2018-01-01,30399.95,30420,29850,29893.15,19847
EIDPARRY,2018-01-01,369.1,385,369,379.2,170864
EIHAHOTELS,2018-01-01,376,395,372,384.5,2061
EIHOTEL,2018-01-01,146.25,147.85,145.7,147.05,127847
EIMCOELECO,2018-01-01,554,554,520,535,15464
EKC,2018-01-01,70.4,70.95,68.4,68.9,1085441
ELAND,2018-01-01,23.7,24,21.6,22.25,313464
ELECON,2018-01-01,102.95,107.55,101.65,104.9,1272197
ELECTCAST,2018-01-01,37.3,39.1,37.3,37.65,1089022
ELECTHERM,2018-01-01,166.4,167.8,159,160.55,16425
ELGIEQUIP,2018-01-01,313.65,315,308.3,309.7,17450
ELGIRUBCO,2018-01-01,51.95,53.35,50.3,51.65,28782
EMAMIINFRA,2018-01-01,278,285.4,272.4,274.55,81965
EMAMILTD,2018-01-01,1336,1345.5,1306.25,1335.8,54222
EMCO,2018-01-01,20.3,21.6,19.65,20.85,427543
EMKAY,2018-01-01,224,224,215.5,215.9,54852
EMMBI,2018-01-01,234.45,236.85,229.2,231.4,8989
