symbol,timestamp,open,high,low,CLOSE,TOTTRDQTY
HDFCLIFE,2018-01-01,388.5,399.8,386.55,389.65,1445743
HDFCMFGETF,2018-01-01,2693.8,2723.95,2692.5,2709.3,677
HDFCNIFETF,2018-01-01,1071,1084.9,1038,1068.04,262
HDFCSENETF,2018-01-01,3600,3600,3600,3600,1
HDIL,2018-01-01,65.5,67.4,64,64.3,26430235
HEG,2018-01-01,2419,2453.15,2377.4,2432.35,301222
HEIDELBERG,2018-01-01,154.6,154.6,151.3,151.7,194262
HERCULES,2018-01-01,147.65,152.4,147.6,149.15,39703
HERITGFOOD,2018-01-01,832.05,835.05,820.15,823.05,12997
HEROMOTOCO,2018-01-01,3810,3810,3740,3749.1,201102
HESTERBIO,2018-01-01,1868.4,1900,1835.75,1845.8,19403
HEXAWARE,2018-01-01,340.65,346.25,340,341.65,792011
HFCL,2018-01-01,29,33.95,29,32.25,39161526
HGS,2018-01-01,900.95,908.3,895,898.15,21761
HIGHGROUND,2018-01-01,16.35,16.5,15.6,15.75,359710
HIKAL,2018-01-01,234,240.9,233.45,237.4,66034
HIL,2018-01-01,1501,1535.65,1501,1530,43329
HILTON,2018-01-01,39.6,40.7,37.65,38.5,83691
HIMATSEIDE,2018-01-01,401.35,410,395,400.35,101101
HINDALCO,2018-01-01,273,277.9,270,271.15,4614411
